Course Absence Rate,PF,FIN,TOTAL,LG,Class
3,92,36,70,C+,2
25,100,28,71,C+,2
29,90,10,58,D+,2
10,87,13,57,D+,2
10,85,10,55,D+,2
8,93,35,70,C+,2
0,100,75,90,A-,3
10,100,75,90,A-,3
7,100,24,70,C+,2
0,98,30,71,C+,2
7,75,62,70,C+,2
0,100,93,97,A,3
0,100,80,92,A-,3
5,100,53,81,B,3
5,100,35,74,C+,2
0,68,22,50,D,2
10,63,68,65,C,2
8,100,38,75,B-,3
0,100,88,95,A,3
33,0,0,0,F,1
0,100,70,88,B+,3
27,100,60,84,B,3
27,92,10,59,D+,2
8,100,75,90,A-,3
8,63,38,53,D,2
17,100,75,90,A-,3
63,0,0,0,F,1
15,100,90,96,A,3
8,100,43,77,B-,3
3,100,68,87,B+,3
23,96,29,69,C,2
43,0,0,0,F,1
0,98,40,75,B-,3
17,88,13,58,D+,2
13,88,10,57,D+,2
0,68,38,56,D+,2
33,0,0,0,F,1
8,100,38,75,B-,3
7,100,8,63,C-,2
20,100,40,76,B-,3
23,73,20,52,D,2
30,0,0,0,F,1
2,83,70,78,B-,3
30,76,13,51,D,2
22,100,30,72,C+,2
3,100,90,96,A,3
3,98,40,75,B-,3
25,58,35,49,FX,1
8,73,18,51,D,2
17,100,63,85,B+,3
28,67,30,52,D,2
0,100,80,92,A-,3
10,100,15,66,C,2
8,100,74,90,A-,3
10,100,60,84,B,3
5,100,55,82,B,3
48,0,0,0,F,1
29,88,15,59,D+,2
0,100,25,70,C+,2
15,75,62,70,C+,2
3,100,53,81,B,3
10,100,33,73,C+,2
20,100,75,90,A-,3
25,70,20,50,D,2
10,45,13,40,FX,1
3,100,87,95,A,3
2,100,65,86,B+,3
10,92,38,70,C+,2
20,83,15,56,D+,2
0,100,74,90,A-,3
5,100,55,82,B,3
18,60,8,50,D,2
30,58,0,35,FX,1
65,0,0,0,F,1
5,80,30,60,C-,2
8,70,25,52,D,2
8,100,50,80,B,3
18,100,43,77,B-,3
25,42,0,25,FX,1
0,100,78,91,A-,3
15,100,55,82,B,3
12,73,28,55,D+,2
17,100,8,63,C-,2
20,25,0,0,F,1
15,100,25,70,C+,2
0,83,30,62,C-,2
8,88,25,63,C-,2
0,100,38,75,B-,3
0,97,63,83,B,3
23,68,25,51,D,2
17,21,0,0,F,1
19,7,0,4,F,1
21,70,10,46,FX,1
24,83,40,66,C,2
21,100,33,73,C+,2
29,82,55,71,C+,2
5,80,45,66,C,2
26,82,10,53,D,2
0,100,95,98,A,3
24,7,0,4,F,1
10,100,65,86,B+,3
7,100,55,82,B,3
21,95,25,67,C,2
0,73,65,70,C+,2
0,92,28,66,C,2
0,100,74,90,A-,3
50,0,0,0,F,1
7,95,38,72,C+,2
7,100,33,73,C+,2
2,88,15,59,D+,2
10,93,53,77,B-,3
26,100,50,80,B,3
26,7,0,4,F,1
29,53,48,51,D,2
0,100,37,75,B-,3
5,75,30,57,D+,2
5,73,35,58,D+,2
14,92,8,58,D+,2
29,100,30,72,C+,2
21,100,48,79,B-,3
12,100,45,78,B-,3
14,100,53,81,B,3
26,58,10,51,D,2
7,67,0,40,FX,1
10,90,40,70,C+,2
36,0,0,0,F,1
0,100,45,78,B-,3
14,100,100,100,A,3
3,100,100,100,A,3
0,68,63,66,C,2
14,42,55,45,FX,1
10,76,78,77,B-,3
19,64,45,56,D+,2
3,97,98,97,A,3
4,93,100,96,A,3
0,100,75,90,A-,3
0,88,100,93,A-,3
0,85,88,86,B+,3
0,97,63,83,B,3
4,61,63,62,C-,2
10,82,70,77,B-,3
7,73,59,67,C,2
0,81,88,84,B,3
4,37,50,42,FX,1
0,37,63,47,FX,1
7,80,100,88,B+,3
7,73,50,64,C-,2
4,62,50,57,D+,2
3,63,81,70,C+,2
0,78,63,72,C+,2
4,100,100,100,A,3
7,82,55,71,C+,2
11,27,63,41,FX,1
11,31,0,19,F,1
0,87,100,92,A-,3
0,87,100,92,A-,3
19,60,96,74,C+,2
0,95,63,82,B,3
0,100,100,100,A,3
0,95,63,82,B,3
4,82,25,59,D+,2
7,93,88,91,A-,3
0,70,88,77,B-,3
3,93,85,90,A-,3
14,97,60,82,B,3
4,75,88,80,B,3
3,86,70,80,B,3
4,84,100,90,A-,3
0,58,88,70,C+,2
0,95,100,97,A,3
0,86,97,90,A-,3
19,78,87,82,B,3
4,65,75,69,C,2
4,85,88,86,B+,3
0,70,95,80,B,3
26,60,40,52,D,2
3,81,65,75,B-,3
4,68,88,76,B-,3
0,65,100,79,B-,3
0,81,100,89,B+,3
7,52,50,51,D,2
4,66,0,50,D,2
7,78,100,87,B+,3
7,33,0,20,F,1
7,76,25,56,D+,2
11,65,63,64,C-,2
4,74,100,84,B,3
3,94,80,88,B+,3
4,58,75,65,C,2
7,67,38,55,D+,2
4,52,88,66,C,2
7,72,45,61,C-,2
4,80,100,88,B+,3
7,63,88,73,C+,2
11,33,50,40,FX,1
4,0,0,0,F,1
0,91,100,95,A,3
24,61,45,55,D+,2
7,84,55,72,C+,2
0,88,50,73,C+,2
11,62,50,57,D+,2
7,50,100,70,C+,2
0,80,100,88,B+,3
4,87,100,92,A-,3
0,94,100,96,A,3
