Optimizer,Activation,Accuracy
SGD,Sigmoid,0.4146341463414634
SGD,ReLU,0.34146341463414637
SGD,Tanh,0.4146341463414634
Adadelta,Sigmoid,0.6829268292682927
Adadelta,ReLU,0.8048780487804879
Adadelta,Tanh,0.8048780487804879
Adagrad,Sigmoid,0.6097560975609756
Adagrad,ReLU,0.8048780487804879
Adagrad,Tanh,0.8048780487804879
RMSprop,Sigmoid,0.8048780487804879
RMSprop,ReLU,0.8292682926829268
RMSprop,Tanh,0.8048780487804879
Adam,Sigmoid,0.6097560975609756
Adam,ReLU,0.8048780487804879
Adam,Tanh,0.8048780487804879
